device_name,device_storage,plan_name,plan_data,Monthly_price,Unlimited_talk,Unlimited_SMS
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
HUAWEI P30,128,LTE 10 GB,10,40.99,False,True
